,District,Member,Party,Prior experience,Education,Assumed office,Residence,Birth_date
257,New York,Lee Zeldin,Republican,New York Senate,"University at Albany, SUNY (BA)
Union University, New York (JD)",2015,Shirley,42
258,New York,Andrew Garbarino,Republican,New York State Assembly,"George Washington University (BA)
Hofstra University (JD)",2021,Sayville,37
259,New York,Thomas Suozzi,Democratic,"County Executive of Nassau County
Mayor of Glen Cove","Boston College (BA)
Fordham University (JD)",2017,Glen Cove,60
260,New York,Kathleen Rice,Democratic,District Attorney of Nassau County,"Catholic University of America (BA)
Touro College (JD)",2015,Garden City,57
261,New York,Gregory Meeks,Democratic,New York State Assembly,"Adelphi University (BA)
Howard University (JD)",1998 (special),Queens,69
262,New York,Grace Meng,Democratic,New York State Assembly,"University of Michigan (BA)
Yeshiva University (JD)",2013,Queens,46
263,New York,Nydia Velázquez,Democratic,"Director, Dept. of Puerto Rican Community Affairs","University of Puerto Rico, Río Piedras (BA)
New York University (MA)",1993,Brooklyn,69
264,New York,Hakeem Jeffries,Democratic,New York State Assembly,"Binghamton University (BA)
Georgetown University (MPP)
New York University (JD)",2013,Brooklyn,52
265,New York,Yvette Clarke,Democratic,New York City Council,"Oberlin College
Medgar Evers College",2007,Brooklyn,57
266,New York,Jerry Nadler,Democratic,New York State Assembly,"Columbia University (BA)
Fordham University (JD)",1992 (special),Manhattan,75
267,New York,Nicole Malliotakis,Republican,New York State Assembly,"Seton Hall University (BA)
Wagner College (MBA)",2021,Staten Island,41
268,New York,Carolyn Maloney,Democratic,New York City Council,Greensboro College (BA),1993,Manhattan,76
269,New York,Adriano Espaillat,Democratic,"New York State Senate
New York State Assembly","Queens College, City University of New York (BA)",2017,Manhattan,67
270,New York,Alexandria Ocasio-Cortez,Democratic,Bartender,Boston University (BA),2019,The Bronx,32
271,New York,Ritchie Torres,Democratic,New York City Council,New York University,2021,The Bronx,34
272,New York,Jamaal Bowman,Democratic,Middle school principal,"University of New Haven (BA)
Mercy College (MA)
Manhattanville College (EdD)",2021,Yonkers,46
273,New York,Mondaire Jones,Democratic,Attorney,"Stanford University (BA)
Harvard University (JD)",2021,Nyack,35
