name,playcount,listeners,url
Japanese Breakfast,22793672,555066,https://www.last.fm/music/Japanese+Breakfast
Ricky Montgomery,12764896,461700,https://www.last.fm/music/Ricky+Montgomery
Rammstein,210526693,2115399,https://www.last.fm/music/Rammstein
Alicia Keys,63785970,2903663,https://www.last.fm/music/Alicia+Keys
Isaiah Rashad,34310447,581988,https://www.last.fm/music/Isaiah+Rashad
JVKE,3902436,309601,https://www.last.fm/music/JVKE
Girls' Generation,15373450,275028,https://www.last.fm/music/Girls%27+Generation
LUCKI,36436735,253065,https://www.last.fm/music/LUCKI
Djo,7397541,328184,https://www.last.fm/music/Djo
Bob Dylan,185404826,3088340,https://www.last.fm/music/Bob+Dylan
Mr.kitty,11014490,401752,https://www.last.fm/music/Mr.kitty
All Time Low,82766288,1691684,https://www.last.fm/music/All+Time+Low
Death Grips,82055956,737345,https://www.last.fm/music/Death+Grips
Nine Inch Nails,209340307,2549326,https://www.last.fm/music/Nine+Inch+Nails
YoungBoy Never Broke Again,42782874,437765,https://www.last.fm/music/YoungBoy+Never+Broke+Again
Vansire,5322796,371887,https://www.last.fm/music/Vansire
$NOT,22099057,476074,https://www.last.fm/music/$NOT
Kelly Clarkson,78565986,3005199,https://www.last.fm/music/Kelly+Clarkson
a-ha,36457593,2130310,https://www.last.fm/music/a-ha
The Goo Goo Dolls,5752819,503587,https://www.last.fm/music/The+Goo+Goo+Dolls
The Alchemist,10734047,526226,https://www.last.fm/music/The+Alchemist
Keane,76963536,2795358,https://www.last.fm/music/Keane
BØRNS,16267242,913462,https://www.last.fm/music/B%C3%98RNS
Beach Weather,3380898,268817,https://www.last.fm/music/Beach+Weather
Dreamville,15732983,442768,https://www.last.fm/music/Dreamville
Peach Pit,16500739,526143,https://www.last.fm/music/Peach+Pit
Toto,30948137,1930578,https://www.last.fm/music/Toto
Alvvays,20966979,598301,https://www.last.fm/music/Alvvays
lil tjay,23732045,475976,https://www.last.fm/music/lil+tjay
